dataset,window,trial_name,parameter,level,value,seed,status,data_file,frozen_prior_ppo,method_order,pbir_status,pbir_return_code,pbir_best_train_sharpe,pbir_best_iteration,pbir_test_sharpe,pbir_test_sortino,pbir_test_max_drawdown,pbir_test_total_return,pbir_wall_time_seconds,pbir_llm_call_attempts,pbir_llm_call_successes,pbir_valid_code_rate,pbir_failed_iterations,pbir_config_path,pbir_config_sha256,pbir_experiment_dir,pure_gift_status,pure_gift_return_code,pure_gift_best_train_sharpe,pure_gift_best_iteration,pure_gift_test_sharpe,pure_gift_test_sortino,pure_gift_test_max_drawdown,pure_gift_test_total_return,pure_gift_wall_time_seconds,pure_gift_llm_call_attempts,pure_gift_llm_call_successes,pure_gift_valid_code_rate,pure_gift_failed_iterations,pure_gift_config_path,pure_gift_config_sha256,pure_gift_experiment_dir,test_sharpe_delta_pbir_minus_gift,test_sortino_delta_pbir_minus_gift,test_total_return_delta_pbir_minus_gift,test_max_drawdown_delta_pbir_minus_gift,test_max_drawdown_improvement_pbir_minus_gift
portfolio_5stocks,W1,epochs_per_update_g1_1,epochs_per_update,1,1,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,{},pbir>pure_gift,completed,0,0.479765392866707,1,0.5797870476447586,0.3836151116212081,2.4839291248804125,1.252280696801722,1634.9516170000425,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g1_1_pbir.yaml,01c71f7044c5510b944b044f045641608be9df5f328f8720dcea92d8ea6db1f3,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g1_1\pbir,completed,0,0.542177439819067,3,3.0512183404348705,2.473461539097239,4.2157533035367045,11.74402169891029,1749.8924188000383,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g1_1_pure_gift.yaml,67907dcaf2cf9670da57f21dc049b59135815d9c4f6c1232642b405e0ca6fbb2,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g1_1\pure_gift,-2.471431292790112,-2.089846427476031,-10.491741002108569,-1.731824178656292,1.731824178656292
portfolio_5stocks,W1,epochs_per_update_g2_3,epochs_per_update,2,3,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,{},pure_gift>pbir,completed,0,0.7505989449051954,1,3.1501054949612897,2.6337685133086595,4.921271362589858,13.562803062353579,1679.3473232000833,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g2_3_pbir.yaml,42fa4fbcd8d778f8db79e4325018e56ba6a90ef444eab63d549907150fb986af,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g2_3\pbir,completed,0,0.7133089452386924,4,1.4614770492647975,1.1997429883399813,3.6649816928157755,4.319696987088006,1746.589993200032,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g2_3_pure_gift.yaml,6a0928d8dc61343dd5d414bcf927d204fc50c6f606f3238dfcdb66a07df6fc1b,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g2_3\pure_gift,1.6886284456964922,1.4340255249686782,9.243106075265572,1.2562896697740822,-1.2562896697740822
portfolio_5stocks,W1,epochs_per_update_g3_5,epochs_per_update,3,5,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,{},pbir>pure_gift,completed,0,0.7125502533701918,3,2.8202237968580115,2.4328284190846983,4.058875217630891,10.186910028114626,1866.2503771999618,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g3_5_pbir.yaml,4576dc14f6a8b9974420bf5eebcad36b0d1858994f4ad92e912020c1c044b479,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g3_5\pbir,completed,0,0.6924379314522386,1,1.6645994969522364,1.1977369455772497,2.615400371590213,4.248517473610103,1654.835399200092,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g3_5_pure_gift.yaml,8dcb9e445ae0bc847f2b17667d2194233f361bd9aeb8119102efb9918e0dc9e2,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g3_5\pure_gift,1.155624299905775,1.2350914735074485,5.9383925545045235,1.4434748460406777,-1.4434748460406777
portfolio_5stocks,W1,epochs_per_update_g4_8,epochs_per_update,4,8,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,{},pure_gift>pbir,completed,0,0.9135462439725589,3,0.7553913916749343,0.5282392217242509,3.944101546512306,2.033752999063565,1665.44789760001,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g4_8_pbir.yaml,2720fe9da30c4e40012332374ac5be6e52f72db5f42085202b13f0fe9a889f4b,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g4_8\pbir,completed,0,0.594968232928328,1,2.4799039218283494,1.9663875650195797,3.7172300086641026,7.7026875269363915,1731.2543525000801,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g4_8_pure_gift.yaml,50447a375e4b40332c3fd65d23dfa206eade3b28e7cec8ae1bfc0548db7d9d02,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g4_8\pure_gift,-1.7245125301534152,-1.4381483432953288,-5.6689345278728265,0.22687153784820335,-0.22687153784820335
portfolio_5stocks,W1,epochs_per_update_g5_10,epochs_per_update,5,10,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,{},pbir>pure_gift,completed,0,0.8688143360686195,2,2.4753986659918357,2.0717141578615434,5.0453459361406505,9.608086375167414,2064.8318994999863,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g5_10_pbir.yaml,775aa705ab8d10cf5e7eca51e39155a450cf2078825704cf48072af62ed06624,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g5_10\pbir,completed,0,0.8228382146335511,2,2.661133044737445,2.112148171100263,3.9827356326556256,9.411364919996789,1673.8471600000048,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\epochs_per_update_g5_10_pure_gift.yaml,29a1dff62becac18436d0e4fafed856c027c1a71adf5f7446c1bcc7e73ece07a,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\epochs_per_update_g5_10\pure_gift,-0.18573437874560916,-0.04043401323871976,0.1967214551706249,1.062610303485025,-1.062610303485025
portfolio_5stocks,W1,max_episodes_g1_20,max_episodes,1,20,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10}",pure_gift>pbir,completed,0,0.9845192750488044,5,1.4274115981438464,0.9873265431230008,3.930942576291009,4.542522846118269,940.5751834999537,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g1_20_pbir.yaml,4fd5bd8653a6f67eaa3cf71ee7580900bcec23f34a857f1c0c9eed44ba57d35b,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g1_20\pbir,completed,0,0.5991675327243284,2,3.2201279667820266,2.676410756121509,4.704939935841177,13.938679441926682,842.7628302999074,20,20,0.9333333333333333,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g1_20_pure_gift.yaml,95e29abbdd29ee514dd1dbb71102664a49034c9707728aa63a18009f1b3ee257,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g1_20\pure_gift,-1.7927163686381802,-1.6890842129985084,-9.396156595808414,-0.7739973595501684,0.7739973595501684
portfolio_5stocks,W1,max_episodes_g2_35,max_episodes,2,35,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10}",pbir>pure_gift,completed,0,0.7616853750713587,5,1.781163703259267,1.3648136174595584,2.676036557447046,4.943213019934611,1299.629658699967,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g2_35_pbir.yaml,e6b0b6c116630ec30f39202c0ccba86735bd150ac194a1363e413ad0e42d8115,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g2_35\pbir,completed,0,0.7209655286742939,3,2.4702218340771975,1.9231008649851005,4.195170104876706,9.731690320641873,1560.1045338999247,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g2_35_pure_gift.yaml,1c2766f2ac55388c9624492399879c042cd8b2c9b64449b9ea4eeea399931911,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g2_35\pure_gift,-0.6890581308179304,-0.558287247525542,-4.788477300707261,-1.5191335474296594,1.5191335474296594
portfolio_5stocks,W1,max_episodes_g3_50,max_episodes,3,50,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10}",pure_gift>pbir,completed,0,1.1176713744697562,4,2.8110972582013987,2.4576845565646748,4.945565863271271,11.0802061294063,2115.974374499987,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g3_50_pbir.yaml,775aa705ab8d10cf5e7eca51e39155a450cf2078825704cf48072af62ed06624,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g3_50\pbir,completed,0,1.1336516746362566,3,1.995729938003548,1.565815400143043,4.0263236708946994,6.7051777528122525,2076.473865500069,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g3_50_pure_gift.yaml,29a1dff62becac18436d0e4fafed856c027c1a71adf5f7446c1bcc7e73ece07a,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g3_50\pure_gift,0.8153673201978506,0.8918691564216317,4.375028376594047,0.9192421923765712,-0.9192421923765712
portfolio_5stocks,W1,max_episodes_g4_75,max_episodes,4,75,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10}",pbir>pure_gift,completed,0,1.167915775858761,4,2.989344156733389,2.37225875417704,4.524754739968818,11.669626715055292,2875.842697600019,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g4_75_pbir.yaml,afac70023acced38e8aea3d9c3929bf2032906349eec3088be8b7485b6f69c16,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g4_75\pbir,completed,0,0.7470591049532964,2,1.8044217701868064,1.315393253180847,2.672591515418325,4.782475269050446,2819.3820271999575,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g4_75_pure_gift.yaml,99b23a06489780dcbcba3ecab5740e1a675d6d72488101b9511cf44ff6f71856,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g4_75\pure_gift,1.1849223865465826,1.056865500996193,6.887151446004847,1.8521632245504933,-1.8521632245504933
portfolio_5stocks,W1,max_episodes_g5_100,max_episodes,5,100,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10}",pure_gift>pbir,completed,0,1.2821822810745083,3,1.674123454742807,1.228991699888176,4.511765579440322,5.5139607913781585,3436.502511099912,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g5_100_pbir.yaml,d041ca51da9dd8c5ed5ab06d80897162220fa31b27c79cb6e2d5d08321467913,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g5_100\pbir,completed,0,1.042528870641121,1,0.8670876092293406,0.6177233181538879,2.91994424338569,1.9525739866253167,3155.499772800016,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\max_episodes_g5_100_pure_gift.yaml,1edca6f4de433778a4bb70ed3f66bd159213a541f7679a36579515ce15a9e15e,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\max_episodes_g5_100\pure_gift,0.8070358455134664,0.6112683817342881,3.561386804752842,1.591821336054632,-1.591821336054632
portfolio_5stocks,W1,actor_lr_g1_5em05,actor_lr,1,5e-05,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,0.6509448847553824,1,1.532134990648821,1.089170671676131,2.53958101368485,3.6931403510377603,1910.5918695,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g1_5em05_pbir.yaml,ea3acac8d2484b5ce1519f4b9bf2fa8db331b2af8e434c905d592749633742b4,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g1_5em05\pbir,completed,0,0.7047179680357911,4,2.987462748562751,2.4827236739374725,3.957861436623929,11.052407377613527,1952.2334554999834,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g1_5em05_pure_gift.yaml,68d28c0320b9dad97ea04435ded82d71e4d70f4153609980ef4a1aeef33961ff,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g1_5em05\pure_gift,-1.45532775791393,-1.3935530022613416,-7.3592670265757665,-1.418280422939079,1.418280422939079
portfolio_5stocks,W1,actor_lr_g2_0p0001,actor_lr,2,0.0001,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pure_gift>pbir,completed,0,0.7565552428976262,1,2.4775316041402684,2.0562364414385885,2.8455360295190064,7.67719559028337,1942.3813449000008,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g2_0p0001_pbir.yaml,71cacd30b6d30280fe57b731e7e73a216fe2ace1b274c9f40df11780be5235ba,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g2_0p0001\pbir,completed,0,0.7692776789691078,1,1.754063656649296,1.2142875093385626,3.5602590758378674,4.866820572173225,1941.6472235000692,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g2_0p0001_pure_gift.yaml,405584cd270823f5b8c4979fab25168439c65586c3070b0cb52357acbe5f33fb,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g2_0p0001\pure_gift,0.7234679474909724,0.841948932100026,2.810375018110145,-0.714723046318861,0.714723046318861
portfolio_5stocks,W1,actor_lr_g3_0p0003,actor_lr,3,0.0003,42,completed,${PROJECT_ROOT}\data\portfolio_5stocks.pkl,"{""epochs_per_update"":10,""max_episodes"":50}",pbir>pure_gift,completed,0,1.0156555105984175,1,2.375699204501593,2.0203254425960173,4.1056730669445765,8.73976017751712,1958.8200303999474,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g3_0p0003_pbir.yaml,775aa705ab8d10cf5e7eca51e39155a450cf2078825704cf48072af62ed06624,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g3_0p0003\pbir,completed,0,0.7740996793093312,3,2.6107962167207934,2.1119839985616076,4.248540322192207,9.628293338492888,1981.7382425999967,20,20,1.0,0,${PROJECT_ROOT}\configs\_paired_hparam_sweep\portfolio_5stocks\W1\seed_42\actor_lr_g3_0p0003_pure_gift.yaml,29a1dff62becac18436d0e4fafed856c027c1a71adf5f7446c1bcc7e73ece07a,${PROJECT_ROOT}\results\stage_a_tuning\portfolio_5stocks\W1\seed_42\trials\actor_lr_g3_0p0003\pure_gift,-0.23509701221920043,-0.09165855596559025,-0.8885331609757685,-0.1428672552476309,0.1428672552476309
