parameter,level,value,pbir_validation_sharpe,pure_gift_validation_sharpe,mean_validation_sharpe,mean_validation_sortino,mean_validation_total_return,mean_validation_max_drawdown
epochs_per_update,1,1,0.5797870476447586,3.0512183404348705,1.8155026940398145,1.4285383253592236,6.498151197856005,3.3498412142085585
epochs_per_update,2,3,3.1501054949612897,1.4614770492647975,2.3057912721130434,1.9167557508243203,8.941250024720793,4.2931265277028166
epochs_per_update,3,5,2.8202237968580115,1.6645994969522364,2.242411646905124,1.815282682330974,7.217713750862364,3.337137794610552
epochs_per_update,4,8,0.7553913916749343,2.4799039218283494,1.6176476567516418,1.2473133933719152,4.868220262999978,3.8306657775882043
epochs_per_update,5,10,2.4753986659918357,2.661133044737445,2.5682658553646402,2.0919311644809033,9.509725647582101,4.514040784398138
max_episodes,1,20,1.4274115981438464,3.2201279667820266,2.3237697824629366,1.831868649622255,9.240601144022476,4.317941256066093
max_episodes,2,35,1.781163703259267,2.4702218340771975,2.125692768668232,1.6439572412223296,7.337451670288242,3.435603331161876
max_episodes,3,50,2.8110972582013987,1.995729938003548,2.4034135981024733,2.011749978353859,8.892691941109277,4.4859447670829855
max_episodes,4,75,2.989344156733389,1.8044217701868064,2.3968829634600977,1.8438260036789433,8.226050992052869,3.598673127693572
max_episodes,5,100,1.674123454742807,0.8670876092293406,1.2706055319860738,0.923357509021032,3.7332673890017376,3.7158549114130057
actor_lr,1,5e-05,1.532134990648821,2.987462748562751,2.259798869605786,1.7859471728068017,7.3727738643256435,3.248721225154389
actor_lr,2,0.0001,2.4775316041402684,1.754063656649296,2.1157976303947823,1.6352619753885755,6.2720080812282974,3.202897552678437
actor_lr,3,0.0003,2.375699204501593,2.6107962167207934,2.493247710611193,2.0661547205788127,9.184026758005004,4.177106694568392
actor_lr,4,0.0005,2.203617911416242,3.8765755094816083,3.040096710448925,2.6247697630118867,12.18025328797342,3.72618056008802
actor_lr,5,0.001,2.6098997413012577,2.669857945146859,2.639878843224058,2.175248390268517,9.275185763931438,4.068334229043646
clip_epsilon,1,0.05,2.747591766967179,2.47482303337125,2.6112074001692145,2.1418161721565663,9.525563621598899,4.266377094252007
clip_epsilon,2,0.1,2.5538680170701666,2.452654108352705,2.503261062711436,2.0537685993464594,8.930719345468674,3.9817368277786107
clip_epsilon,3,0.15,2.466849956697562,2.3511577550109983,2.40900385585428,1.9996263675812826,8.290173026821657,3.6653458310266753
clip_epsilon,4,0.2,1.8802896790623436,2.0303348862158197,1.9553122826390816,1.4584892637184677,5.992667564422815,3.3175145418076477
clip_epsilon,5,0.3,3.103073287224244,3.469891919635774,3.286482603430009,3.0312430268295234,15.08144842030651,5.09561860769854
entropy_coef,1,0.0,4.271083424535557,1.725000814042571,2.998042119289064,2.793983525316741,15.147687516628682,5.192183792346112
entropy_coef,2,0.001,2.564712929754908,4.523921039378693,3.5443169845668003,3.537198149748452,19.17981026221681,5.486165654178525
entropy_coef,3,0.005,2.821279762347341,1.7456360185337338,2.2834578904405376,1.8011815296178404,7.840760800027002,3.8510773163348473
entropy_coef,4,0.01,2.302265459306521,1.1340592643748397,1.7181623618406805,1.4278806187939257,5.179736731235729,3.217629507322289
entropy_coef,5,0.02,2.563990356372512,3.0103019322711524,2.787146144321832,2.431268974540493,10.821364598295546,4.452704858955689
