contrast,dataset,window,n_seeds,mean_delta_sharpe,seed_sd_delta_sharpe
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks,W1,3,0.34296283536097505,0.46562826082337033
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks,W3,3,0.05745236516448012,0.4328494411072371
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks,W5,3,0.1405894034818238,1.1522073475751786
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks2,W1,3,0.5736930888143816,1.7115209426500326
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks2,W3,3,0.5499291284353779,0.13740694881855767
gift_pipeline_vs_ppo_train_plus_test,portfolio_5stocks2,W5,3,1.15413450435779,1.3551115988001674
gift_pipeline_vs_ppo_test_only,portfolio_5stocks,W1,3,0.7770317355728716,0.523078260333587
gift_pipeline_vs_ppo_test_only,portfolio_5stocks,W3,3,-0.32301030587702584,0.522924213638554
gift_pipeline_vs_ppo_test_only,portfolio_5stocks,W5,3,-0.021567005932291217,0.32547116528577363
gift_pipeline_vs_ppo_test_only,portfolio_5stocks2,W1,3,0.2195407342327278,0.47203139758860363
gift_pipeline_vs_ppo_test_only,portfolio_5stocks2,W3,3,0.06617249716661087,0.44777577949836994
gift_pipeline_vs_ppo_test_only,portfolio_5stocks2,W5,3,1.1140432892668302,1.2067413666265756
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks,W1,3,0.41924629278477427,0.42653325233232714
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks,W3,3,0.3360175554422306,0.11242115760403547
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks,W5,3,0.015376826185706053,1.5171180579051788
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks2,W1,3,0.47167069248873145,2.0720593064156327
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks2,W3,3,0.8164599363391564,0.8759863078004074
pbir_fixed_vs_ppo_train_plus_test,portfolio_5stocks2,W5,3,1.0975617118899068,0.7110530699397841
pbir_fixed_vs_gift_fixed,portfolio_5stocks,W1,3,-0.06179412967015093,0.1321646260644534
pbir_fixed_vs_gift_fixed,portfolio_5stocks,W3,3,0.2515922423278016,0.5691372736058062
pbir_fixed_vs_gift_fixed,portfolio_5stocks,W5,3,0.5130521207922041,1.0723242791027006
pbir_fixed_vs_gift_fixed,portfolio_5stocks2,W1,3,0.6415120057376049,0.35711501494637227
pbir_fixed_vs_gift_fixed,portfolio_5stocks2,W3,3,0.5250978849101505,0.5274991664723534
pbir_fixed_vs_gift_fixed,portfolio_5stocks2,W5,3,0.3401682599401276,0.5429269325704114
gift_pipeline_vs_equal_weight,portfolio_5stocks,W1,3,-0.2827565754653054,0.3533034631852838
gift_pipeline_vs_equal_weight,portfolio_5stocks,W3,3,-0.12022275645575542,0.23668513194642185
gift_pipeline_vs_equal_weight,portfolio_5stocks,W5,3,-0.07650465965609883,0.38879718115087675
gift_pipeline_vs_equal_weight,portfolio_5stocks2,W1,3,-0.45147614626306193,0.2197433927040654
gift_pipeline_vs_equal_weight,portfolio_5stocks2,W3,3,0.05767628658292608,0.22129480909168822
gift_pipeline_vs_equal_weight,portfolio_5stocks2,W5,3,-0.05701763429424034,0.8573637369345167
pbir_fixed_vs_equal_weight,portfolio_5stocks,W1,3,-0.20647311804150612,0.2134957289728043
pbir_fixed_vs_equal_weight,portfolio_5stocks,W3,3,0.158342433821995,0.23767194044668744
pbir_fixed_vs_equal_weight,portfolio_5stocks,W5,3,-0.20171723695221658,0.5394225047218308
pbir_fixed_vs_equal_weight,portfolio_5stocks2,W1,3,-0.5534985425887121,0.20457845286574133
pbir_fixed_vs_equal_weight,portfolio_5stocks2,W3,3,0.3242070944867046,0.5512250311361427
pbir_fixed_vs_equal_weight,portfolio_5stocks2,W5,3,-0.11359042676212343,0.3043333557175226
