dataset,window,seed,method,baseline_source_stage,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W1,42,pure_gift,Stage-B,-1.9148226895123632,-0.11104849584145014,-0.11102773974773936,14.617566263877663,-0.1620789225395815
portfolio_5stocks,W1,42,ppo_test_only,Stage-D,-6.156625956235462,-0.9535474979013021,-0.9110705409073846,12.934561243975503,-1.0937250855972591
portfolio_5stocks,W1,42,ppo_train_plus_test,Stage-D,-9.396238327393004,-0.7699367230848412,-0.7559672130837565,19.212511418655062,-1.052916548051723
portfolio_5stocks,W1,42,equal_weight,Stage-D,2.6478276896508612,0.3970452335358103,0.38672177213148823,13.947552679799694,0.6187846764453284
portfolio_5stocks,W1,123,pure_gift,Stage-B,-1.9893914351155617,-0.06756052742403618,-0.07708782437299713,16.40605432894426,-0.10355003065347644
portfolio_5stocks,W1,123,ppo_test_only,Stage-D,-4.246969363839503,-0.2918620968826168,-0.28869815770924834,16.956862392997085,-0.4302542293583886
portfolio_5stocks,W1,123,ppo_train_plus_test,Stage-D,0.3140055162887512,0.12420588866551084,0.12510380845123906,9.421315602149464,0.18951339357749034
portfolio_5stocks,W1,123,equal_weight,Stage-D,2.6478276896508612,0.3970452335358103,0.38672177213148823,13.947552679799694,0.6187846764453284
portfolio_5stocks,W1,456,pure_gift,Stage-B,3.0311539573216084,0.521474997477001,0.5075932829613862,10.178117013980833,0.8346837117866384
portfolio_5stocks,W1,456,ppo_test_only,Stage-D,-8.946869339561792,-0.7428196377231812,-0.7836398334409435,18.20578769736158,-1.0528531588430907
portfolio_5stocks,W1,456,ppo_train_plus_test,Stage-D,-1.194434548641754,-0.04029169745208006,-0.039908559151580814,13.154162649478106,-0.062237104218634806
portfolio_5stocks,W1,456,equal_weight,Stage-D,2.6478276896508612,0.3970452335358103,0.38672177213148823,13.947552679799694,0.6187846764453284
portfolio_5stocks,W2,42,pure_gift,Stage-B,14.10190639336788,2.331324184507558,2.412759335594729,5.904752297578841,5.531373030307637
portfolio_5stocks,W2,42,ppo_test_only,Stage-E,7.035823331753366,1.4127534154892356,1.383204574982907,7.4749835472601776,2.2813604802513687
portfolio_5stocks,W2,42,ppo_train_plus_test,Stage-E,12.366761673909199,1.9273381801489917,1.9476705946417399,7.5394401976509124,3.8652464488669143
portfolio_5stocks,W2,42,equal_weight,Stage-E,16.60006912512042,2.2691030956730467,2.262676974463331,9.237243871076933,4.147521103686527
portfolio_5stocks,W2,123,pure_gift,Stage-B,15.855549612625985,1.9789014119013317,2.0120595606023555,9.245227884520144,4.0128059637023075
portfolio_5stocks,W2,123,ppo_test_only,Stage-E,15.383222395645468,2.4387368786384855,2.4788362991235764,5.949303584089055,5.95352676446536
portfolio_5stocks,W2,123,ppo_train_plus_test,Stage-E,15.191607617540793,2.4874581671599896,2.682137690743224,6.565068790266036,5.32359932744734
portfolio_5stocks,W2,123,equal_weight,Stage-E,16.60006912512042,2.2691030956730467,2.262676974463331,9.237243871076933,4.147521103686527
portfolio_5stocks,W2,456,pure_gift,Stage-B,14.32866217453428,1.9716106666922841,1.978269260462674,8.32518717325613,4.0371104115989045
portfolio_5stocks,W2,456,ppo_test_only,Stage-E,13.71077058197827,1.9350469989011978,1.9922082828732475,10.31192369564875,3.126707970047266
portfolio_5stocks,W2,456,ppo_train_plus_test,Stage-E,6.915614500938716,1.5578271655926799,1.5703298597595865,6.214950790646499,2.6746757160512513
