dataset,window,seed,method,method_label,source_stage,shared_artifact_sha256,shared_code_sha256,sharpe,sortino,total_return,max_drawdown_improvement,calmar
portfolio_5stocks,W1,42,pbir,PBIR-GIFT,Stage-C,1df01ad361360b4ed466684755d0248692ddf27451788ad0db7724e38e76a2c2,5d56aa2d892c5b10f9b2f123bd548aa060760d9c34dab585e13f715a698bf10c,0.044681082826008314,0.043147119342451565,-0.32127115189816147,11.855517692489192,0.06653060994564969
portfolio_5stocks,W1,42,pure_gift,Pure GIFT,Stage-C,1df01ad361360b4ed466684755d0248692ddf27451788ad0db7724e38e76a2c2,5d56aa2d892c5b10f9b2f123bd548aa060760d9c34dab585e13f715a698bf10c,0.09910280848797692,0.10083571279331123,-0.01032094466576483,13.69350320686169,0.14547982942695123
portfolio_5stocks,W1,123,pbir,PBIR-GIFT,Stage-C,f9ce7c7a9a75314e9a02093d266cb83e73b2b4f054ade64040512ba701ff2e83,4bafe2b751d690ba4483a2a1da1d25381b4ce6f7950378a37c864676e5e419c0,0.09142091126160691,0.0957804273274901,-0.007605858313652902,12.877890830955648,0.13196512458115636
portfolio_5stocks,W1,123,pure_gift,Pure GIFT,Stage-C,f9ce7c7a9a75314e9a02093d266cb83e73b2b4f054ade64040512ba701ff2e83,4bafe2b751d690ba4483a2a1da1d25381b4ce6f7950378a37c864676e5e419c0,0.28891156119586947,0.2660302189296431,1.3902501585954408,9.0868336551693,0.5025238116882291
portfolio_5stocks,W1,456,pbir,PBIR-GIFT,Stage-C,fb1df87b956b839c81a82f2d3a1617dcb682eead9130a5c0e247d0709a3ecd3c,14955ad324ee6379086c2d30a75d728f2a35b6816ccd0b0670cde2432819d27e,0.4356143523952972,0.44523981073853336,2.9880737647187017,14.009841898893407,0.6689979117130658
portfolio_5stocks,W1,456,pure_gift,Pure GIFT,Stage-C,fb1df87b956b839c81a82f2d3a1617dcb682eead9130a5c0e247d0709a3ecd3c,14955ad324ee6379086c2d30a75d728f2a35b6816ccd0b0670cde2432819d27e,0.3690843658095188,0.40193733018506833,2.196425516999989,11.27657237610815,0.6207713409715182
portfolio_5stocks,W2,42,pbir,PBIR-GIFT,Stage-F,7f1e0cf5a4e1472da2b67200e5320391a43769c5d7931668801eeaa5fe069dc8,bb488d4b9acd443758292d0e8981ca6bece6b4e74517809af9e5912af11c6237,2.1276146972263588,2.108658025557929,14.204811845915932,8.872953295881516,3.7316151121323466
portfolio_5stocks,W2,42,pure_gift,Pure GIFT,Stage-F,7f1e0cf5a4e1472da2b67200e5320391a43769c5d7931668801eeaa5fe069dc8,bb488d4b9acd443758292d0e8981ca6bece6b4e74517809af9e5912af11c6237,1.6495456346963484,1.6388956287711538,9.751164122962951,7.140860123122677,3.268769856630896
portfolio_5stocks,W2,123,pbir,PBIR-GIFT,Stage-F,7dcff321a0561183c0aa62089aea31fee3e1e1ed9bfe1f04759dbc22293c9827,c54a446610b6393dd79b9d66a475642831f65c4cdefbc30d92a7481b6f963dac,2.0508528011197042,2.0648984975247098,9.79253098343218,6.948239678788995,3.319305232969024
portfolio_5stocks,W2,123,pure_gift,Pure GIFT,Stage-F,7dcff321a0561183c0aa62089aea31fee3e1e1ed9bfe1f04759dbc22293c9827,c54a446610b6393dd79b9d66a475642831f65c4cdefbc30d92a7481b6f963dac,1.2132493976556162,1.1197360561615213,7.0876790111646715,7.974232419896807,2.191955986851133
portfolio_5stocks,W2,456,pbir,PBIR-GIFT,Stage-F,cef8e9e2acb278e3fd7097b058bc731c7758eef353983159d4feabf31158e40f,1e564f5ca661009b1da7f1f9a3b7ac9ca15023438140dda079c0766154f69b8e,1.8422334798246809,1.7165155827403138,13.118934299082019,9.323594552939852,3.3271836361381495
portfolio_5stocks,W2,456,pure_gift,Pure GIFT,Stage-F,cef8e9e2acb278e3fd7097b058bc731c7758eef353983159d4feabf31158e40f,1e564f5ca661009b1da7f1f9a3b7ac9ca15023438140dda079c0766154f69b8e,1.7098956264031395,1.6063060800766948,9.215168344783509,7.099011468497814,3.097975158683712
portfolio_5stocks,W3,42,pbir,PBIR-GIFT,Stage-C,b6e71cb3536257951095c96a034a80c3b21f2cc040d0f8ec84a23c826c0b4b99,5e03d64ba165f7d4afdabb8a006dc5192746372bc9709983ddb139d2f3705606,-0.8880911801974841,-0.832283464856239,-14.207450506483799,23.902303194516126,-1.2859726058376786
portfolio_5stocks,W3,42,pure_gift,Pure GIFT,Stage-C,b6e71cb3536257951095c96a034a80c3b21f2cc040d0f8ec84a23c826c0b4b99,5e03d64ba165f7d4afdabb8a006dc5192746372bc9709983ddb139d2f3705606,-1.760688361219481,-1.6042189949552605,-23.181594737516665,30.647633523119584,-1.8847913623715573
portfolio_5stocks,W3,123,pbir,PBIR-GIFT,Stage-C,d32ebfe567336dcbdf07a5c2011d624f8d95daa59ba2574d00081f8aff9f3c06,f5ca6a7d2ab49ef380dbff007fb6650dc6c466ad7f22826105e28af8553085e2,-1.3257388234767769,-1.1570443806966255,-20.83548664526338,28.950366711891824,-1.6945324149242376
portfolio_5stocks,W3,123,pure_gift,Pure GIFT,Stage-C,d32ebfe567336dcbdf07a5c2011d624f8d95daa59ba2574d00081f8aff9f3c06,f5ca6a7d2ab49ef380dbff007fb6650dc6c466ad7f22826105e28af8553085e2,-1.080597863774837,-0.9646357061834396,-16.084812352761546,27.663794293076855,-1.314069474346336
portfolio_5stocks,W3,456,pbir,PBIR-GIFT,Stage-C,92f4ccbd4544371d932fc993ed2db70c0418c7c77e758fa531ed0083fc2a94c7,d74e11bbcbd8702d1c423b49ff900bd84c6326c575dd2fc20e7592754be92ebc,-1.267576942184376,-1.1520817150483185,-25.974544071036753,36.65290392155884,-1.651441348796415
portfolio_5stocks,W3,456,pure_gift,Pure GIFT,Stage-C,92f4ccbd4544371d932fc993ed2db70c0418c7c77e758fa531ed0083fc2a94c7,d74e11bbcbd8702d1c423b49ff900bd84c6326c575dd2fc20e7592754be92ebc,-1.3948974478477238,-1.1864680506555754,-26.40343895673334,35.00406659215452,-1.7969435854105489
portfolio_5stocks,W4,42,pbir,PBIR-GIFT,Stage-F,63ddab0c56c5187578cf2c913c6683d7b4bab40d44a7d4375354e52d8a36cb3e,a04423327bff538cba432a1c2f735de3d3348b376e5338b6aea1476bb0497c34,-1.4166491163961898,-1.5309774238276244,-19.181801719869895,26.222949145789286,-1.748548749765866
portfolio_5stocks,W4,42,pure_gift,Pure GIFT,Stage-F,63ddab0c56c5187578cf2c913c6683d7b4bab40d44a7d4375354e52d8a36cb3e,a04423327bff538cba432a1c2f735de3d3348b376e5338b6aea1476bb0497c34,-1.239803702139467,-1.3398252592565563,-16.128464602535818,22.055846907815873,-1.7048345214006428
