dataset,window,seed,method,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W1,42,pure_gift,Pure GIFT,-1.9148226895123632,-0.11104849584145014,-0.11102773974773936,14.617566263877663,-0.1620789225395815
portfolio_5stocks,W1,42,ppo_tuned,PPO-Tuned,3.3900763968016445,0.560587451549513,0.5338607123255121,10.219059188751187,0.9213629860687969
portfolio_5stocks,W1,123,pure_gift,Pure GIFT,-1.9893914351155617,-0.06756052742403618,-0.07708782437299713,16.40605432894426,-0.10355003065347644
portfolio_5stocks,W1,123,ppo_tuned,PPO-Tuned,-1.3902054390094176,-0.04991958823589054,-0.04933367452551946,13.715545451512856,-0.07790604922789103
portfolio_5stocks,W1,456,pure_gift,Pure GIFT,3.0311539573216084,0.521474997477001,0.5075932829613862,10.178117013980833,0.8346837117866384
portfolio_5stocks,W1,456,ppo_tuned,PPO-Tuned,-0.6397049372067531,0.05450871562295665,0.05473839269633839,15.69633736536609,0.08297719755504634
portfolio_5stocks,W2,42,pure_gift,Pure GIFT,14.10190639336788,2.331324184507558,2.412759335594729,5.904752297578841,5.531373030307637
portfolio_5stocks,W2,42,ppo_tuned,PPO-Tuned,11.604350198537938,1.986097970510986,1.968391694079698,8.243534169925269,3.3127751732081436
portfolio_5stocks,W2,123,pure_gift,Pure GIFT,15.855549612625985,1.9789014119013317,2.0120595606023555,9.245227884520144,4.0128059637023075
portfolio_5stocks,W2,123,ppo_tuned,PPO-Tuned,13.64318633463557,2.401290793998904,2.4004554936958713,5.961649234274647,5.296849393260846
portfolio_5stocks,W2,456,pure_gift,Pure GIFT,14.32866217453428,1.9716106666922841,1.978269260462674,8.32518717325613,4.0371104115989045
portfolio_5stocks,W2,456,ppo_tuned,PPO-Tuned,19.855009237258514,2.84427710555473,2.9457875639666087,7.332306824571959,6.101659997787492
portfolio_5stocks,W3,42,pure_gift,Pure GIFT,-22.45720842703143,-1.5055742689055573,-1.362115605824184,31.419477074776008,-1.7305927507651053
portfolio_5stocks,W3,42,ppo_tuned,PPO-Tuned,-20.30168253758675,-1.0743586135083543,-0.9682994035443471,34.22281496188259,-1.3263366327144837
portfolio_5stocks,W3,123,pure_gift,Pure GIFT,-16.325338052221994,-1.1762011405196182,-1.0688746898837551,25.354760804773658,-1.4832173337771175
portfolio_5stocks,W3,123,ppo_tuned,PPO-Tuned,-17.155408011330774,-1.1355544462756952,-1.0585903510369274,29.01833272984811,-1.349080739889297
portfolio_5stocks,W3,456,pure_gift,Pure GIFT,-30.48904314232391,-1.6353271072667128,-1.442649120350151,37.58832387890194,-2.0246195149924637
portfolio_5stocks,W3,456,ppo_tuned,PPO-Tuned,-18.901473473926355,-1.408072164241775,-1.2586904867726998,28.251734332753774,-1.5950968950866722
portfolio_5stocks,W4,42,pure_gift,Pure GIFT,-9.900952800299223,-0.7715803427842326,-0.8529249864456676,15.653781757350252,-1.3566155956535395
portfolio_5stocks,W4,42,ppo_tuned,PPO-Tuned,-8.608958029715751,-0.6851730959973807,-0.7272131703015948,13.460456806586906,-1.3459040354104739
portfolio_5stocks,W4,123,pure_gift,Pure GIFT,-14.396936465877275,-1.3324591290468182,-1.5121063992809856,19.152512334122004,-1.7771845697115156
portfolio_5stocks,W4,123,ppo_tuned,PPO-Tuned,-12.36243320724565,-1.0780466015333083,-1.145098760046452,17.135228360237733,-1.6478019763605458
portfolio_5stocks,W4,456,pure_gift,Pure GIFT,0.23570127272400931,0.17428976341659466,0.1988225862533966,12.885167681078421,0.4257048839401673
portfolio_5stocks,W4,456,ppo_tuned,PPO-Tuned,-11.50261702071278,-0.911833487591697,-0.9769394163442404,17.309043659794394,-1.469278930367342
portfolio_5stocks,W5,42,pure_gift,Pure GIFT,24.925244082687527,3.3177731170889326,3.6556643427999425,6.969121415762249,7.8676249113538725
portfolio_5stocks,W5,42,ppo_tuned,PPO-Tuned,20.69651124347065,2.6949311947236554,2.875602826655873,10.568785327168703,4.41729615076208
portfolio_5stocks,W5,123,pure_gift,Pure GIFT,20.40365576993992,2.598275886694658,2.9736784688770093,10.442003503294185,4.422402005175285
portfolio_5stocks,W5,123,ppo_tuned,PPO-Tuned,28.51232197808955,2.784822406954815,2.952617822367262,11.510099090347158,5.457565488118585
portfolio_5stocks,W5,456,pure_gift,Pure GIFT,20.57954790280936,2.702617873544313,2.841386410763572,8.827813188054574,5.259236395840149
portfolio_5stocks,W5,456,ppo_tuned,PPO-Tuned,39.803964182304696,3.3207584709438875,3.553502523929663,12.12159661311596,6.90663793505299
portfolio_5stocks,W6,42,pure_gift,Pure GIFT,2.83728138309145,0.5522990969431306,0.5093894258603131,10.183304616558091,0.7631638613190876
portfolio_5stocks,W6,42,ppo_tuned,PPO-Tuned,5.119807772749585,0.7986365963253835,0.8002892743905001,13.616826667147572,0.9939783206715088
portfolio_5stocks,W6,123,pure_gift,Pure GIFT,2.474692286619651,0.48513882628124305,0.4349186265200583,11.530754855954472,0.6029334625931516
portfolio_5stocks,W6,123,ppo_tuned,PPO-Tuned,11.533196330586048,1.666714607318033,1.6267227981381356,8.80870949429319,3.162669027656496
portfolio_5stocks,W6,456,pure_gift,Pure GIFT,7.892046246635043,1.1231244206500697,1.1206229816509077,12.398272915225373,1.6129059203007992
portfolio_5stocks,W6,456,ppo_tuned,PPO-Tuned,6.181089671012319,0.906851839285868,0.8379218108349814,12.561565735539421,1.2830139598121535
portfolio_5stocks2,W1,42,pure_gift,Pure GIFT,12.503565192489429,2.5428554294137995,2.4872776483985697,3.5232480634442322,8.213740848088243
portfolio_5stocks2,W1,42,ppo_tuned,PPO-Tuned,13.012693085049577,2.5380470853095796,2.548004101776568,3.22511708915746,9.32635395010839
portfolio_5stocks2,W1,123,pure_gift,Pure GIFT,15.272375901169056,2.8823922108402633,2.9847650969931574,4.7374932659030184,7.359282695017499
portfolio_5stocks2,W1,123,ppo_tuned,PPO-Tuned,16.86253020590085,3.120267761094458,3.3114901466048354,2.635204596808977,14.486222299140618
portfolio_5stocks2,W1,456,pure_gift,Pure GIFT,13.23338727559802,2.954279683815868,3.1997922839918753,2.5878271703900344,11.736708475727372
