anchor,baseline,comparison,mean_cell_delta_sharpe,median_cell_delta_sharpe,positive_cells,cell_win_rate,hedges_g_paired,exact_one_sided_sign_flip_p,dataset_means,bootstrap,strict_supported,holm_adjusted_p_across_six_baselines
pure_gift,sma,Pure GIFT versus SMA,0.2813627452828109,0.10760054284132015,7,0.5833333333333334,0.2554544277048047,0.178955078125,"{'portfolio_5stocks': 0.6214887855816755, 'portfolio_5stocks2': -0.058763295016053874}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.3665113354543378, 0.8977948801760829], 'probability_positive': 0.7988}",False,0.388916015625
pure_gift,wma,Pure GIFT versus WMA,0.43428595047719787,0.17776253619672244,7,0.5833333333333334,0.4577074034339611,0.060791015625,"{'portfolio_5stocks': 0.7699930269946162, 'portfolio_5stocks2': 0.09857887395977942}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.16250584140766225, 1.014357654316931], 'probability_positive': 0.9153}",False,0.2431640625
pure_gift,atr,Pure GIFT versus ATR,0.44635209796951836,0.21254001194303196,9,0.75,0.49348031772471923,0.047607421875,"{'portfolio_5stocks': 0.44948296958850326, 'portfolio_5stocks2': 0.44322122635053357}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.13178979731180085, 1.0845875021945222], 'probability_positive': 0.9372}",False,0.238037109375
pure_gift,bollinger,Pure GIFT versus Bollinger Bands,0.26956091401509674,0.16848767532817793,8,0.6666666666666666,0.3184378609917887,0.129638671875,"{'portfolio_5stocks': -0.0499030583306175, 'portfolio_5stocks2': 0.5890248863608111}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.25208129425174447, 1.0743734336082882], 'probability_positive': 0.8786}",False,0.388916015625
pure_gift,turn_of_month,Pure GIFT versus Turn-of-the-Month,0.18475534309880748,0.5305600298795485,7,0.5833333333333334,0.14671223601196534,0.291015625,"{'portfolio_5stocks': 0.5428954659649967, 'portfolio_5stocks2': -0.17338477976738162}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.5994038070716026, 1.037482525573572], 'probability_positive': 0.7029}",False,0.388916015625
pure_gift,xgboost,Pure GIFT versus XGBoost,0.7059773541573519,0.24271036929555345,7,0.5833333333333334,0.5813756320183577,0.02734375,"{'portfolio_5stocks': 0.6633906540747829, 'portfolio_5stocks2': 0.7485640542399207}","{'resamples': 10000, 'block_length': 20, 'ci95': [0.07507344800405158, 1.48057276017803], 'probability_positive': 0.9862}",False,0.1640625
pbir,sma,PBIR-GIFT versus SMA,0.3399045600759527,0.3697878588204029,7,0.5833333333333334,0.2647823783968862,0.174072265625,"{'portfolio_5stocks': 0.6607576464776977, 'portfolio_5stocks2': 0.019051473674207658}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.39465513129708835, 1.0395988300558767], 'probability_positive': 0.8121}",False,0.39111328125
pbir,wma,PBIR-GIFT versus WMA,0.49282776527033967,0.46825317403778566,7,0.5833333333333334,0.4553635938499362,0.061279296875,"{'portfolio_5stocks': 0.8092618878906386, 'portfolio_5stocks2': 0.17639364265004098}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.16788076170066651, 1.119927615834525], 'probability_positive': 0.9207}",False,0.2451171875
pbir,atr,PBIR-GIFT versus ATR,0.5048939127626603,0.5698060404148585,8,0.6666666666666666,0.5433135624245238,0.03466796875,"{'portfolio_5stocks': 0.4887518304845253, 'portfolio_5stocks2': 0.5210359950407953}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.07363696497130026, 1.1261079191532628], 'probability_positive': 0.9553}",False,0.17333984375
pbir,bollinger,PBIR-GIFT versus Bollinger Bands,0.3281027288082387,0.20390356259881268,7,0.5833333333333334,0.3223342053776794,0.13037109375,"{'portfolio_5stocks': -0.010634197434595297, 'portfolio_5stocks2': 0.6668396550510726}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.25324151170424797, 1.1485004336081337], 'probability_positive': 0.8933}",False,0.39111328125
pbir,turn_of_month,PBIR-GIFT versus Turn-of-the-Month,0.2432971578919494,0.3760233410657426,8,0.6666666666666666,0.25685895386326796,0.176025390625,"{'portfolio_5stocks': 0.5821643268610189, 'portfolio_5stocks2': -0.09557001107712011}","{'resamples': 10000, 'block_length': 20, 'ci95': [-0.43993877450263, 0.9728810591109699], 'probability_positive': 0.7715}",False,0.39111328125
pbir,xgboost,PBIR-GIFT versus XGBoost,0.7645191689504937,0.20598006199806812,9,0.75,0.6469191011274367,0.020263671875,"{'portfolio_5stocks': 0.7026595149708051, 'portfolio_5stocks2': 0.8263788229301823}","{'resamples': 10000, 'block_length': 20, 'ci95': [0.13341367637577184, 1.4924286985174875], 'probability_positive': 0.9915}",True,0.12158203125
