dataset,window,method,seed,method_label,test_total_return,test_sharpe,test_sortino,test_max_drawdown,test_calmar
portfolio_5stocks,W1,pure_gift,42,Pure GIFT,-1.9148226895123632,-0.11104849584145014,-0.11102773974773936,14.617566263877663,-0.1620789225395815
portfolio_5stocks,W1,pure_gift,123,Pure GIFT,-1.9893914351155617,-0.06756052742403618,-0.07708782437299713,16.40605432894426,-0.10355003065347644
portfolio_5stocks,W1,pure_gift,456,Pure GIFT,3.0311539573216084,0.521474997477001,0.5075932829613862,10.178117013980833,0.8346837117866384
portfolio_5stocks,W1,pbir,42,PBIR-GIFT,-0.32127115189816147,0.044681082826008314,0.043147119342451565,11.855517692489192,0.06653060994564969
portfolio_5stocks,W1,pbir,123,PBIR-GIFT,-0.007605858313652902,0.09142091126160691,0.0957804273274901,12.877890830955648,0.13196512458115636
portfolio_5stocks,W1,pbir,456,PBIR-GIFT,2.9880737647187017,0.4356143523952972,0.44523981073853336,14.009841898893407,0.6689979117130658
portfolio_5stocks,W1,sma,deterministic,SMA,-8.432975362552098,-0.8023906452265266,-0.76410799482066,18.345371363643594,-1.0069642008773585
portfolio_5stocks,W1,wma,deterministic,WMA,-14.084739254103873,-1.8470080181377166,-1.6899723009598453,20.368548750571684,-1.7007337281540824
portfolio_5stocks,W1,atr,deterministic,ATR,-5.888031127498894,-0.8407490174661045,-0.7437059608528626,15.583763867564873,-0.8536787984266341
portfolio_5stocks,W1,bollinger,deterministic,Bollinger Bands,5.180999311361911,1.064644847664423,0.9395387485843654,7.452648540566928,1.724901345623359
portfolio_5stocks,W1,turn_of_month,deterministic,Turn-of-the-Month,-2.1400903769647983,-0.47886346035280264,-0.2065460337410816,7.192554617822856,-0.6542697120011675
portfolio_5stocks,W1,xgboost,42,XGBoost,-1.5144299191379162,0.029774371276756487,0.033354842700172915,16.5226325961983,0.05459799238343642
portfolio_5stocks,W1,xgboost,123,XGBoost,-2.66631178648995,-0.09111453570473473,-0.09311208029433875,18.732064130289213,-0.13635863751070484
portfolio_5stocks,W1,xgboost,456,XGBoost,7.934709592334688,0.8146298653567681,0.8402290652364336,13.652591229309671,1.607943024112668
portfolio_5stocks,W2,pure_gift,42,Pure GIFT,14.10190639336788,2.331324184507558,2.412759335594729,5.904752297578841,5.531373030307637
portfolio_5stocks,W2,pure_gift,123,Pure GIFT,15.855549612625985,1.9789014119013317,2.0120595606023555,9.245227884520144,4.0128059637023075
portfolio_5stocks,W2,pure_gift,456,Pure GIFT,14.32866217453428,1.9716106666922841,1.978269260462674,8.32518717325613,4.0371104115989045
portfolio_5stocks,W2,pbir,42,PBIR-GIFT,14.204811845915932,2.1276146972263588,2.108658025557929,8.872953295881516,3.7316151121323466
